PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f48c8c06, ar: 818, fc: 235, num_access: 837, ar_ratio: 97.7 , fc_ratio: 28.1
PAGE pfn: 0x7f48c8805, ar: 93, fc: 24, num_access: 102, ar_ratio: 91.2 , fc_ratio: 23.5
PAGE pfn: 0x7f48c8815, ar: 39, fc: 20, num_access: 50, ar_ratio: 78.0 , fc_ratio: 40.0
PAGE pfn: 0x7f48c881a, ar: 74, fc: 29, num_access: 99, ar_ratio: 74.7 , fc_ratio: 29.3
PAGE pfn: 0x7f48c8812, ar: 53, fc: 23, num_access: 64, ar_ratio: 82.8 , fc_ratio: 35.9
PAGE pfn: 0x7f48c880a, ar: 24, fc: 23, num_access: 35, ar_ratio: 68.6 , fc_ratio: 65.7
PAGE pfn: 0x7f48c8809, ar: 12, fc: 11, num_access: 23, ar_ratio: 52.2 , fc_ratio: 47.8
PAGE pfn: 0x7f48c8c08, ar: 901, fc: 234, num_access: 927, ar_ratio: 97.2 , fc_ratio: 25.2
PAGE pfn: 0x7f48c8c07, ar: 843, fc: 210, num_access: 856, ar_ratio: 98.5 , fc_ratio: 24.5
PAGE pfn: 0x7f48c8808, ar: 21, fc: 28, num_access: 49, ar_ratio: 42.9 , fc_ratio: 57.1
PAGE pfn: 0x7f48c8c03, ar: 944, fc: 228, num_access: 955, ar_ratio: 98.8 , fc_ratio: 23.9
PAGE pfn: 0x7f48c8a21, ar: 29, fc: 19, num_access: 31, ar_ratio: 93.5 , fc_ratio: 61.3
PAGE pfn: 0x7f48c8e35, ar: 21, fc: 27, num_access: 28, ar_ratio: 75.0 , fc_ratio: 96.4
PAGE pfn: 0x7f48c8e3c, ar: 81, fc: 117, num_access: 135, ar_ratio: 60.0 , fc_ratio: 86.7
PAGE pfn: 0x7f48c8e3b, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8e34, ar: 3, fc: 0, num_access: 3, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f48c8e3d, ar: 0, fc: 18, num_access: 18, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8e36, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8e40, ar: 92, fc: 102, num_access: 102, ar_ratio: 90.2 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8e38, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8f68, ar: 133, fc: 11, num_access: 144, ar_ratio: 92.4 , fc_ratio: 7.6
PAGE pfn: 0x7f48c8e26, ar: 946, fc: 325, num_access: 1121, ar_ratio: 84.4 , fc_ratio: 29.0
PAGE pfn: 0x7f48c8e1b, ar: 151, fc: 81, num_access: 166, ar_ratio: 91.0 , fc_ratio: 48.8
PAGE pfn: 0x7f48c8c7b, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8e1c, ar: 375, fc: 60, num_access: 379, ar_ratio: 98.9 , fc_ratio: 15.8
PAGE pfn: 0x7f48c8c7c, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c7d, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8e1d, ar: 423, fc: 107, num_access: 429, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8e1e, ar: 386, fc: 68, num_access: 390, ar_ratio: 99.0 , fc_ratio: 17.4
PAGE pfn: 0x7f48c8e1f, ar: 393, fc: 117, num_access: 399, ar_ratio: 98.5 , fc_ratio: 29.3
PAGE pfn: 0x7f48c8c7e, ar: 504, fc: 127, num_access: 511, ar_ratio: 98.6 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8e20, ar: 343, fc: 96, num_access: 346, ar_ratio: 99.1 , fc_ratio: 27.7
