PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f01b781c, ar: 93, fc: 36, num_access: 96, ar_ratio: 96.9 , fc_ratio: 37.5
PAGE pfn: 0x7f01b7801, ar: 103, fc: 6, num_access: 103, ar_ratio: 100.0 , fc_ratio: 5.8
PAGE pfn: 0x7f01b7803, ar: 83, fc: 0, num_access: 83, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f01b7804, ar: 107, fc: 69, num_access: 173, ar_ratio: 61.8 , fc_ratio: 39.9
PAGE pfn: 0x7f01b7806, ar: 76, fc: 41, num_access: 87, ar_ratio: 87.4 , fc_ratio: 47.1
PAGE pfn: 0x7f01b7818, ar: 155, fc: 17, num_access: 172, ar_ratio: 90.1 , fc_ratio: 9.9
PAGE pfn: 0x7f01b7802, ar: 101, fc: 18, num_access: 101, ar_ratio: 100.0 , fc_ratio: 17.8
PAGE pfn: 0x7f01b780c, ar: 88, fc: 20, num_access: 99, ar_ratio: 88.9 , fc_ratio: 20.2
PAGE pfn: 0x7f01b7816, ar: 85, fc: 28, num_access: 113, ar_ratio: 75.2 , fc_ratio: 24.8
PAGE pfn: 0x7f01b7c01, ar: 1194, fc: 106, num_access: 1223, ar_ratio: 97.6 , fc_ratio: 8.7
PAGE pfn: 0x7f01b7810, ar: 51, fc: 23, num_access: 62, ar_ratio: 82.3 , fc_ratio: 37.1
PAGE pfn: 0x7f01b7817, ar: 95, fc: 4, num_access: 99, ar_ratio: 96.0 , fc_ratio: 4.0
PAGE pfn: 0x7f01b7814, ar: 22, fc: 20, num_access: 42, ar_ratio: 52.4 , fc_ratio: 47.6
PAGE pfn: 0x7f01b780d, ar: 22, fc: 29, num_access: 51, ar_ratio: 43.1 , fc_ratio: 56.9
PAGE pfn: 0x7f01b781b, ar: 239, fc: 12, num_access: 251, ar_ratio: 95.2 , fc_ratio: 4.8
PAGE pfn: 0x7f01b7c02, ar: 1004, fc: 65, num_access: 1021, ar_ratio: 98.3 , fc_ratio: 6.4
PAGE pfn: 0x7f01b7c05, ar: 859, fc: 52, num_access: 872, ar_ratio: 98.5 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7813, ar: 48, fc: 11, num_access: 59, ar_ratio: 81.4 , fc_ratio: 18.6
PAGE pfn: 0x7f01b7c04, ar: 877, fc: 64, num_access: 900, ar_ratio: 97.4 , fc_ratio: 7.1
PAGE pfn: 0x7f01b7811, ar: 51, fc: 11, num_access: 62, ar_ratio: 82.3 , fc_ratio: 17.7
PAGE pfn: 0x7f01b7807, ar: 50, fc: 11, num_access: 61, ar_ratio: 82.0 , fc_ratio: 18.0
PAGE pfn: 0x7f01b780e, ar: 57, fc: 20, num_access: 68, ar_ratio: 83.8 , fc_ratio: 29.4
PAGE pfn: 0x7f01b781d, ar: 202, fc: 24, num_access: 226, ar_ratio: 89.4 , fc_ratio: 10.6
PAGE pfn: 0x7f01b7819, ar: 106, fc: 31, num_access: 137, ar_ratio: 77.4 , fc_ratio: 22.6
PAGE pfn: 0x7f01b7c06, ar: 818, fc: 61, num_access: 837, ar_ratio: 97.7 , fc_ratio: 7.3
PAGE pfn: 0x7f01b7805, ar: 93, fc: 9, num_access: 102, ar_ratio: 91.2 , fc_ratio: 8.8
PAGE pfn: 0x7f01b7815, ar: 39, fc: 11, num_access: 50, ar_ratio: 78.0 , fc_ratio: 22.0
PAGE pfn: 0x7f01b781a, ar: 74, fc: 29, num_access: 99, ar_ratio: 74.7 , fc_ratio: 29.3
PAGE pfn: 0x7f01b7812, ar: 53, fc: 11, num_access: 64, ar_ratio: 82.8 , fc_ratio: 17.2
PAGE pfn: 0x7f01b780a, ar: 24, fc: 11, num_access: 35, ar_ratio: 68.6 , fc_ratio: 31.4
PAGE pfn: 0x7f01b7809, ar: 12, fc: 11, num_access: 23, ar_ratio: 52.2 , fc_ratio: 47.8
PAGE pfn: 0x7f01b7c08, ar: 901, fc: 73, num_access: 927, ar_ratio: 97.2 , fc_ratio: 7.9
PAGE pfn: 0x7f01b7c07, ar: 843, fc: 52, num_access: 856, ar_ratio: 98.5 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7808, ar: 21, fc: 28, num_access: 49, ar_ratio: 42.9 , fc_ratio: 57.1
PAGE pfn: 0x7f01b7c03, ar: 944, fc: 61, num_access: 955, ar_ratio: 98.8 , fc_ratio: 6.4
PAGE pfn: 0x7f01b7a21, ar: 29, fc: 10, num_access: 31, ar_ratio: 93.5 , fc_ratio: 32.3
PAGE pfn: 0x7f01b7b1b, ar: 21, fc: 7, num_access: 28, ar_ratio: 75.0 , fc_ratio: 25.0
PAGE pfn: 0x7f01b7b22, ar: 81, fc: 117, num_access: 135, ar_ratio: 60.0 , fc_ratio: 86.7
PAGE pfn: 0x7f01b7b21, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b7b1a, ar: 3, fc: 0, num_access: 3, ar_ratio: 100.0 , fc_ratio: 0.0
PAGE pfn: 0x7f01b7b23, ar: 0, fc: 18, num_access: 18, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b7b1c, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b7b26, ar: 92, fc: 28, num_access: 102, ar_ratio: 90.2 , fc_ratio: 27.5
PAGE pfn: 0x7f01b7b1e, ar: 0, fc: 11, num_access: 11, ar_ratio: 0.0 , fc_ratio: 100.0
PAGE pfn: 0x7f01b7f2a, ar: 133, fc: 11, num_access: 144, ar_ratio: 92.4 , fc_ratio: 7.6
PAGE pfn: 0x7f01b7e26, ar: 946, fc: 204, num_access: 1121, ar_ratio: 84.4 , fc_ratio: 18.2
PAGE pfn: 0x7f01b7e1b, ar: 151, fc: 31, num_access: 166, ar_ratio: 91.0 , fc_ratio: 18.7
PAGE pfn: 0x7f01b7c7b, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7e1c, ar: 375, fc: 20, num_access: 379, ar_ratio: 98.9 , fc_ratio: 5.3
PAGE pfn: 0x7f01b7c7c, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7c7d, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7e1d, ar: 423, fc: 27, num_access: 429, ar_ratio: 98.6 , fc_ratio: 6.3
PAGE pfn: 0x7f01b7e1e, ar: 386, fc: 21, num_access: 390, ar_ratio: 99.0 , fc_ratio: 5.4
PAGE pfn: 0x7f01b7e1f, ar: 393, fc: 28, num_access: 399, ar_ratio: 98.5 , fc_ratio: 7.0
PAGE pfn: 0x7f01b7c7e, ar: 504, fc: 31, num_access: 511, ar_ratio: 98.6 , fc_ratio: 6.1
PAGE pfn: 0x7f01b7e20, ar: 343, fc: 17, num_access: 346, ar_ratio: 99.1 , fc_ratio: 4.9
PAGE pfn: 0x7f01b7e21, ar: 428, fc: 34, num_access: 434, ar_ratio: 98.6 , fc_ratio: 7.8
PAGE pfn: 0x7f01b7e22, ar: 343, fc: 19, num_access: 345, ar_ratio: 99.4 , fc_ratio: 5.5
PAGE pfn: 0x7f01b7e23, ar: 399, fc: 19, num_access: 403, ar_ratio: 99.0 , fc_ratio: 4.7
PAGE pfn: 0x7f01b7c7f, ar: 534, fc: 31, num_access: 541, ar_ratio: 98.7 , fc_ratio: 5.7
PAGE pfn: 0x7f01b7e25, ar: 834, fc: 49, num_access: 844, ar_ratio: 98.8 , fc_ratio: 5.8
PAGE pfn: 0x7f01b7c78, ar: 1857, fc: 253, num_access: 2058, ar_ratio: 90.2 , fc_ratio: 12.3
PAGE pfn: 0x7f01b7c1a, ar: 1099, fc: 742, num_access: 1818, ar_ratio: 60.5 , fc_ratio: 40.8
PAGE pfn: 0x7f01b7c2d, ar: 737, fc: 215, num_access: 827, ar_ratio: 89.1 , fc_ratio: 26.0
PAGE pfn: 0x7f01b7c2e, ar: 2662, fc: 189, num_access: 2741, ar_ratio: 97.1 , fc_ratio: 6.9
PAGE pfn: 0x7f01b7c1b, ar: 689, fc: 221, num_access: 886, ar_ratio: 77.8 , fc_ratio: 24.9
PAGE pfn: 0x7f01b7c80, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c79, ar: 1682, fc: 108, num_access: 1720, ar_ratio: 97.8 , fc_ratio: 6.3
